anno,rank,titolo,artista,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,neutral,optimism,pride,realization,relief,remorse,sadness,surprise
1974,1,The Way We Were,Barbra Streisand,0.0195525679737329,0.0166734103113412,0.0022248472087085,0.0100351395085453,0.0273785404860973,0.0087225791066885,0.0668294578790664,0.1677358150482177,0.0090684741735458,0.0699003636837005,0.0111586423590779,0.0021372400224208,0.0020008769351989,0.0035895702894777,0.0061911619268357,0.0002095733216265,0.0116971768438816,0.0149806961417198,0.012502921745181,0.010460021905601,0.0615200474858284,0.0087886406108737,0.000434340792708,0.026449030265212,0.0021116151474416,0.0049896077252924,0.5175583958625793,0.0040345466695725
1974,2,Seasons in the Sun,Terry Jacks,0.0111351707018911,0.0966737177222967,0.0029731712420471,0.0101982809137552,0.0245565846562385,0.0099288537167012,0.0022811361122876,0.0018680213252082,0.0843544489471241,0.0379840921959839,0.0056641991250216,0.002050111972494,0.0021626116649713,0.0232232860289514,0.0014856260677333,0.0026338052703067,0.0050684866728261,0.6084955036640167,0.0599577161483466,0.0050663228612393,0.0415728893131017,0.0108376443386077,0.0028201651293784,0.0162051608785986,0.0115504446439445,0.0062753352103754,0.1711701024323701,0.0019828570075333
1974,4,Come and Get Your Love,Redbone,0.0112830011639744,0.0022539116907864,0.0026212651282548,0.0035424885572865,0.0757913514971733,0.0207095294026657,0.0045656495494768,0.0143200320890173,0.0073215400334447,0.0017852316377684,0.0018103405600413,0.0012269576254766,0.0004303479363443,0.0219976953230798,0.0013738443958573,0.0007520652434322,0.00048475775111,0.0147846858017146,0.5247065275907516,0.0007663593278266,0.4707192778587341,0.00686019170098,0.0005163295427337,0.0040576034225523,0.000745964993257,0.0006026420451235,0.0017804289818741,0.0017581686843186
1974,5,Dancing Machine,The Jackson 5,0.1887333954218775,0.0100145030301064,0.001785343280062,0.0059234336949884,0.0527197355404496,0.0008350490534212,0.0014995683159213,0.0019235656945966,0.0010648240568116,0.0024447606410831,0.0016359552391804,0.002525127318222,0.0013992039312142,0.0322335725650191,0.0019665596191771,0.0004620439722202,0.0004826825024792,0.0142322820611298,0.0044507695711217,0.0006070996169,0.7520390450954437,0.0017475058557465,0.0031758019467815,0.0098906503990292,0.0010477191535755,0.0002519464105716,0.0011968314065597,0.0057877070503309
1974,6,The Loco-Motion,Grand Funk Railroad,0.0756032839417457,0.0189251955598592,0.0007100441143848,0.0031672285404056,0.2822127938270569,0.0062325643375515,0.0015574432909488,0.0024208598770201,0.0029376849997788,0.0009974278509616,0.0017303356435149,0.00065966026159,0.000524042348843,0.1461999118328094,0.0009483732865191,0.0011020513484254,0.0003644211683422,0.1768059134483337,0.0056183123961091,0.0010331853991374,0.3088807463645935,0.0187810957431793,0.0066903945989906,0.0120346639305353,0.0072738458402454,0.0002421698009129,0.0006423431914299,0.0025593743193894
1974,8,The Streak,Ray Stevens,0.0184566294774413,0.0037140188505873,0.0019229109748266,0.0142409182153642,0.1374856829643249,0.0022038035676814,0.0061553830746561,0.0386442551389336,0.00135787850013,0.0024761261884123,0.002904693246819,0.001272079301998,0.0015035859541967,0.0285323029384017,0.0016504300874657,0.0002655257849255,0.000362592152669,0.0089971215929836,0.000815008796053,0.000977342337137,0.7291033267974854,0.0030270554125308,0.0017189646023325,0.0140362815000116,0.0017371355788782,0.0003444263711571,0.0010283924930263,0.0058442107401788
1974,9,Bennie and the Jets,Elton John,0.5222277641296387,0.0043536880984902,0.0012378832325339,0.0051203030161559,0.1386872082948684,0.0006503536715172,0.0247386526316404,0.1065210402011871,0.0013338741846382,0.0048411232419312,0.0056512090377509,0.0030143717303872,0.0011351060820743,0.0465182997286319,0.002296918304637,0.0001512043236289,0.0004585316055454,0.0062136501073837,0.0147509668022394,0.0009162407950498,0.1623354256153106,0.0037336216773837,0.0013876145239919,0.0210396219044923,0.0007494782330468,0.0002045183937298,0.0014019273221492,0.0246227979660034
1974,10,One Hell of a Woman,Mac Davis,0.3829012513160705,0.0006841671420261,0.0058751557953655,0.0084352828562259,0.2079027444124221,0.0147995827719569,0.00058255152544,0.0004510456928983,0.0042067361064255,0.003211026545614,0.0035951037425547,0.001671917270869,0.0004100176738575,0.0058998544700443,0.000887150876224,0.0008765903767198,0.0005791757721453,0.0096842041239142,0.2956859171390533,0.0003088173107244,0.1821295022964477,0.0064781093969941,0.0055915312841534,0.0069724698550999,0.001301497220993,0.0004386968212202,0.0020951817277818,0.0007698301924392
1974,11,Until You Come Back to Me (That's What I'm Gonna Do),Aretha Franklin,0.0020729780662804,0.0006230405997484,0.0154028357937932,0.0196133833378553,0.0391885787248611,0.1304870396852493,0.0113068213686347,0.0722312629222869,0.1844745129346847,0.0373406074941158,0.0060647893697023,0.0028365645557641,0.0015660362550988,0.0056511075235903,0.0111033217981457,0.0004109566507395,0.0055931438691914,0.0045273550786077,0.2696598470211029,0.0160633120685815,0.2004837691783905,0.0319655798375606,0.0007191114127635,0.0089289667084813,0.0021062593441456,0.0141280638054013,0.142482727766037,0.0027205324731767
1974,12,Jungle Boogie,Kool & the Gang,0.0021156924776732,0.3032439947128296,0.0045862141996622,0.0155254816636443,0.0193674731999635,0.001801245030947,0.001091938233003,0.0012516804272308,0.0008264312054961,0.0020014396868646,0.002730576088652,0.0025659524835646,0.0017841153312474,0.0043727708980441,0.0018895278917625,0.0003470313677098,0.0003953282430302,0.0225795656442642,0.001075986539945,0.000731301261112,0.7147332429885864,0.0022435395512729,0.0006899320287629,0.0090360166504979,0.0009691750747151,0.0003667126002255,0.0021455173846334,0.0011898935772478
